Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,wifi_ac,TcpNewReno,400.0,7.0,3,49153/5000,325.14,0.8128,8.1044,0.0632,0.0143,0.9986,comparison/wifi_ac_TcpNewReno.flowmonitor
tcp_only,wifi_ac,TcpSwift,400.0,7.0,3,49153/5000,340.46,0.8512,8.0957,0.0599,0.0143,0.9967,comparison/wifi_ac_TcpSwift.flowmonitor
tcp_only,wifi_ax,TcpBbr,600.0,5.0,3,49153/5000,497.69,0.8295,5.743,0.035,0.018,0.9996,comparison/wifi_ax_TcpBbr.flowmonitor
tcp_only,wifi_ax,TcpCubic,600.0,5.0,3,49153/5000,508.36,0.8473,5.9325,0.0291,0.0135,0.9988,comparison/wifi_ax_TcpCubic.flowmonitor
tcp_only,wifi_ax,TcpNewReno,600.0,5.0,3,49153/5000,494.6,0.8243,5.81,0.0294,0.0126,0.9985,comparison/wifi_ax_TcpNewReno.flowmonitor
tcp_only,wifi_ax,TcpSwift,600.0,5.0,3,49153/5000,522.57,0.871,5.8703,0.028,0.0116,0.9997,comparison/wifi_ax_TcpSwift.flowmonitor
tcp_only,wifi_legacy,TcpBbr,10.0,30.0,3,49153/5000,7.61,0.7615,64.5116,0.4103,0.0,0.996,comparison/wifi_legacy_TcpBbr.flowmonitor
tcp_only,wifi_legacy,TcpCubic,10.0,30.0,3,49153/5000,8.25,0.8247,79.9873,1.0746,0.0216,0.9963,comparison/wifi_legacy_TcpCubic.flowmonitor
tcp_only,wifi_legacy,TcpNewReno,10.0,30.0,3,49153/5000,7.87,0.7873,72.2514,0.658,0.0227,0.9949,comparison/wifi_legacy_TcpNewReno.flowmonitor
tcp_only,wifi_legacy,TcpSwift,10.0,30.0,3,49153/5000,8.58,0.858,71.2199,0.5924,0.0208,0.998,comparison/wifi_legacy_TcpSwift.flowmonitor
tcp_only,wifi_n,TcpBbr,50.0,14.0,3,49153/5000,40.83,0.8166,21.9797,0.2144,0.0131,0.9995,comparison/wifi_n_TcpBbr.flowmonitor
tcp_only,wifi_n,TcpCubic,50.0,14.0,3,49153/5000,41.3,0.826,23.2653,0.2328,0.013,0.9973,comparison/wifi_n_TcpCubic.flowmonitor
tcp_only,wifi_n,TcpNewReno,50.0,14.0,3,49153/5000,40.02,0.8004,23.0975,0.2616,0.0089,0.9959,comparison/wifi_n_TcpNewReno.flowmonitor
tcp_only,wifi_n,TcpSwift,50.0,14.0,3,49153/5000,42.66,0.8532,22.2665,0.2227,0.0126,0.9986,comparison/wifi_n_TcpSwift.flowmonitor
udp_burst,asymmetric_high,TcpBbr,1000.0,0.012,3,49153/5000,596.47,0.5965,0.5627,0.007,0.042,0.9997,comparison-udp/asymmetric_high_TcpBbr.flowmonitor
